team_0,location_x_0,location_y_0,end_location_x_0,end_location_y_0,type_0,outcome_0,player_0,team_1,location_x_1,location_y_1,end_location_x_1,end_location_y_1,type_1,outcome_1,player_1,team_2,location_x_2,location_y_2,end_location_x_2,end_location_y_2,type_2,outcome_2,player_2,team_3,location_x_3,location_y_3,end_location_x_3,end_location_y_3,type_3,outcome_3,player_3,team_4,location_x_4,location_y_4,end_location_x_4,end_location_y_4,type_4,outcome_4,player_4,team_5,location_x_5,location_y_5,end_location_x_5,end_location_y_5,type_5,outcome_5,player_5,team_6,location_x_6,location_y_6,end_location_x_6,end_location_y_6,type_6,outcome_6,player_6,team_7,location_x_7,location_y_7,end_location_x_7,end_location_y_7,type_7,outcome_7,player_7,team_8,location_x_8,location_y_8,end_location_x_8,end_location_y_8,type_8,outcome_8,player_8,team_9,location_x_9,location_y_9,end_location_x_9,end_location_y_9,type_9,outcome_9,player_9,team_10,location_x_10,location_y_10,end_location_x_10,end_location_y_10,type_10,outcome_10,player_10,match_id,shot_id,shot_statsbomb_xg
Everton LFC,63.0,26.1,63.0,26.1,Ball Receipt*,0.0,Molly Pike,Tottenham Hotspur Women,57.0,32.0,57.0,32.0,Ball Recovery,1.0,Anna Filbey,Tottenham Hotspur Women,57.0,32.0,56.2,34.3,Carry,1.0,Anna Filbey,Tottenham Hotspur Women,56.2,34.3,75.5,40.7,Pass,1.0,Anna Filbey,Everton LFC,77.3,31.5,77.3,31.5,Pressure,1.0,Maéva Clemaron,Tottenham Hotspur Women,75.5,40.7,75.5,40.7,Ball Receipt*,1.0,Kit Graham,Tottenham Hotspur Women,75.5,40.7,77.0,38.6,Carry,1.0,Kit Graham,Everton LFC,76.9,38.5,76.9,38.5,Dribbled Past,0.0,Maéva Clemaron,Tottenham Hotspur Women,77.0,38.6,77.0,38.6,Dribble,1.0,Kit Graham,Tottenham Hotspur Women,77.0,38.6,83.6,32.4,Carry,1.0,Kit Graham,Tottenham Hotspur Women,83.6,32.4,120.0,34.4,Shot,0.0,Kit Graham,2275126,fe7ea1ac-0dcb-4cd7-8b65-475594f2c5b0,0.005901519
Manchester United,83.7,9.0,83.7,9.0,Pressure,1.0,Katie Zelem,Tottenham Hotspur Women,82.9,9.1,82.9,9.1,Ball Receipt*,1.0,Gemma Suzanne Davison,Tottenham Hotspur Women,82.9,9.1,79.9,9.7,Carry,1.0,Gemma Suzanne Davison,Manchester United,79.8,9.599999999999994,79.8,9.599999999999994,Foul Committed,0.0,Katie Zelem,Tottenham Hotspur Women,79.9,9.7,79.9,9.7,Foul Won,1.0,Gemma Suzanne Davison,Tottenham Hotspur Women,79.7,5.8,100.1,28.7,Pass,0.0,Emma Mukandi,Manchester United,100.0,28.6,100.0,28.6,Clearance,1.0,Katie Zelem,Manchester United,99.2,29.4,99.2,29.4,Error,0.0,Katie Zelem,Manchester United,104.5,46.6,104.5,46.6,Pressure,1.0,Leah Galton,Tottenham Hotspur Women,103.9,48.3,103.9,48.3,Ball Recovery,1.0,Kit Graham,Tottenham Hotspur Women,103.7,48.0,120.0,34.8,Shot,0.0,Kit Graham,2275137,fec65bf0-55f1-4864-8536-313579003f94,0.04195273
Manchester United,111.4,43.1,111.4,43.1,Ball Recovery,1.0,Jackie Groenen,Manchester United,111.4,43.1,113.5,35.9,Carry,1.0,Jackie Groenen,Tottenham Hotspur Women,110.9,38.3,110.9,38.3,Pressure,1.0,Chloe Peplow,Manchester United,113.5,35.9,116.0,34.5,Pass,1.0,Jackie Groenen,Manchester United,116.0,34.5,116.0,34.5,Ball Receipt*,1.0,Lauren James,Manchester United,116.0,34.5,114.6,33.7,Carry,1.0,Lauren James,Manchester United,114.6,33.7,120.0,36.1,Shot,0.0,Lauren James,Tottenham Hotspur Women,119.3,36.6,119.3,36.6,Goal Keeper,1.0,Rebecca Leigh Spencer,Manchester United,116.1,45.6,116.1,45.6,Ball Recovery,1.0,Kirsty Hanson,Manchester United,116.1,45.6,114.6,45.3,Carry,1.0,Kirsty Hanson,Manchester United,114.6,45.3,119.5,39.7,Shot,0.0,Kirsty Hanson,2275139,feca571f-c0b5-4017-a491-f4dee2348541,0.14714886
Manchester City WFC,96.3,5.8,105.5,4.2,Pass,1.0,Caroline Weir,Manchester City WFC,105.5,4.2,105.5,4.2,Ball Receipt*,1.0,Demi Stokes,Manchester City WFC,105.5,4.2,107.5,5.8,Carry,1.0,Demi Stokes,Everton LFC,107.4,5.700000000000003,107.4,5.700000000000003,Dribbled Past,0.0,Kika van Es,Manchester City WFC,107.5,5.8,107.5,5.8,Dribble,1.0,Demi Stokes,Manchester City WFC,107.5,5.8,115.2,5.6,Carry,1.0,Demi Stokes,Manchester City WFC,115.2,5.6,112.1,18.0,Pass,1.0,Demi Stokes,Manchester City WFC,112.1,18.0,112.1,18.0,Ball Receipt*,1.0,Pauline Bremer,Manchester City WFC,112.1,18.0,118.9,30.4,Carry,1.0,Pauline Bremer,Everton LFC,112.0,15.700000000000003,112.0,15.700000000000003,Pressure,1.0,Kika van Es,Manchester City WFC,118.9,30.4,120.0,34.8,Shot,0.0,Pauline Bremer,2275131,fed10031-df08-4a21-b83a-a5530b96aa24,0.0114684785
Chelsea FCW,73.9,55.8,73.9,54.8,Carry,1.0,Sophie Louise Ingle,Chelsea FCW,73.9,54.8,69.6,19.2,Pass,1.0,Sophie Louise Ingle,Chelsea FCW,69.6,19.2,69.6,19.2,Ball Receipt*,1.0,Millie Bright,Chelsea FCW,69.6,19.2,72.2,15.6,Carry,1.0,Millie Bright,Chelsea FCW,72.2,15.6,98.7,2.0,Pass,1.0,Millie Bright,Chelsea FCW,98.7,2.0,98.7,2.0,Ball Receipt*,1.0,Jonna Ann-Charlotte Andersson,Chelsea FCW,98.7,2.0,105.3,9.5,Carry,1.0,Jonna Ann-Charlotte Andersson,Chelsea FCW,105.3,9.5,116.3,44.0,Pass,1.0,Jonna Ann-Charlotte Andersson,Chelsea FCW,116.3,44.0,116.3,44.0,Ball Receipt*,1.0,Bethany England,Bristol City WFC,118.2,45.0,118.2,45.0,Duel,0.0,Poppy Pattinson,Chelsea FCW,118.3,45.1,120.0,41.7,Shot,1.0,Bethany England,2275080,fee324c9-7bf7-4b7b-9ee6-2183b7aacef9,0.17702301
Arsenal WFC,112.5,37.3,112.5,37.3,Foul Committed,0.0,Jennifer Patricia Beattie,Liverpool WFC,112.4,37.2,112.4,37.2,Foul Won,1.0,Rhiannon Roberts,Liverpool WFC,112.9,38.5,101.1,40.6,Pass,0.0,Anke Preuß,Arsenal WFC,101.2,40.7,101.2,40.7,Ball Recovery,1.0,Vivianne Miedema,Arsenal WFC,110.6,33.8,111.6,34.1,Shot,0.0,Vivianne Miedema,Liverpool WFC,111.5,34.0,111.5,34.0,Block,0.0,Niamh Fahey,Liverpool WFC,105.6,35.5,105.6,35.5,Goal Keeper,1.0,Anke Preuß,Liverpool WFC,105.9,40.4,105.9,40.4,Pressure,1.0,Sophie Elizabeth Bradley-Auckland,Arsenal WFC,106.0,40.5,106.0,40.5,Ball Recovery,1.0,Vivianne Miedema,Arsenal WFC,106.0,40.5,107.9,35.0,Carry,1.0,Vivianne Miedema,Arsenal WFC,107.9,35.0,110.9,35.9,Shot,0.0,Vivianne Miedema,2275079,fee47913-f99d-4f10-9a8d-bcec21fc53e5,0.11863613
West Ham United LFC,20.6,35.5,40.5,22.9,Pass,1.0,Gilly Louise Scarlett Flaherty,West Ham United LFC,40.5,22.9,40.5,22.9,Ball Receipt*,1.0,Kenza Dali,West Ham United LFC,40.5,22.9,45.1,19.2,Carry,1.0,Kenza Dali,West Ham United LFC,45.1,19.2,55.5,6.2,Pass,1.0,Kenza Dali,West Ham United LFC,55.5,6.2,55.5,6.2,Ball Receipt*,1.0,Jacinta Galabadaarachchi,West Ham United LFC,55.5,6.2,70.8,10.2,Carry,1.0,Jacinta Galabadaarachchi,West Ham United LFC,70.8,10.2,74.2,22.9,Pass,1.0,Jacinta Galabadaarachchi,West Ham United LFC,74.2,22.9,74.2,22.9,Ball Receipt*,1.0,Kenza Dali,West Ham United LFC,74.2,22.9,92.3,40.6,Carry,1.0,Kenza Dali,Tottenham Hotspur Women,83.5,29.0,83.5,29.0,Pressure,1.0,Josie Green,West Ham United LFC,92.3,40.6,120.0,34.8,Shot,0.0,Kenza Dali,2275048,fef0c3e2-27a8-4664-af20-378ce4192405,0.033999644
Arsenal WFC,103.4,47.1,103.4,47.1,Ball Receipt*,1.0,Jennifer Patricia Beattie,Arsenal WFC,103.4,47.1,103.6,47.0,Carry,1.0,Jennifer Patricia Beattie,Arsenal WFC,103.6,47.0,86.3,52.8,Pass,1.0,Jennifer Patricia Beattie,Arsenal WFC,86.3,52.8,86.3,52.8,Ball Receipt*,1.0,Lia Wälti,Arsenal WFC,86.3,52.8,90.3,53.8,Carry,1.0,Lia Wälti,Reading WFC,86.6,53.7,86.6,53.7,Pressure,1.0,Angharad James,Arsenal WFC,90.3,53.8,90.3,53.8,Dispossessed,0.0,Lia Wälti,Reading WFC,90.4,53.9,90.4,53.9,Duel,0.0,Angharad James,Reading WFC,102.3,57.7,102.3,57.7,Ball Recovery,1.0,Brooke Chaplen,Reading WFC,102.3,57.7,108.5,55.7,Carry,1.0,Brooke Chaplen,Reading WFC,108.5,55.7,120.0,23.5,Shot,0.0,Brooke Chaplen,2275086,fef93dc8-f592-4a73-8a9f-28a31dbd7479,0.03514893
Liverpool WFC,25.599999999999994,49.5,15.700000000000003,46.9,Shot,0.0,Leigh-Anne Robe,Arsenal WFC,15.8,47.0,15.8,47.0,Block,0.0,Leah Williamson,Arsenal WFC,1.4,40.0,1.4,40.0,Goal Keeper,1.0,Manuela Zinsberger,Arsenal WFC,19.0,50.4,19.0,50.4,Ball Recovery,1.0,Leah Williamson,Arsenal WFC,19.0,50.4,21.8,51.5,Carry,1.0,Leah Williamson,Arsenal WFC,21.8,51.5,98.7,2.8,Pass,1.0,Leah Williamson,Liverpool WFC,94.8,5.200000000000003,94.8,5.200000000000003,Pressure,1.0,Sophie Elizabeth Bradley-Auckland,Arsenal WFC,98.7,2.8,98.7,2.8,Ball Receipt*,1.0,Vivianne Miedema,Arsenal WFC,98.7,2.8,106.4,22.3,Carry,1.0,Vivianne Miedema,Liverpool WFC,118.5,36.7,118.5,36.7,Goal Keeper,1.0,Anke Preuß,Arsenal WFC,106.4,22.3,106.9,23.0,Shot,0.0,Vivianne Miedema,2275079,fef95b1f-279d-47e4-8e28-845e21e50e5e,0.02226024
Chelsea FCW,99.1,43.4,99.1,43.4,Ball Receipt*,1.0,Erin Cuthbert,Chelsea FCW,99.1,43.4,99.3,43.8,Carry,1.0,Erin Cuthbert,Chelsea FCW,99.3,43.8,98.6,27.8,Pass,1.0,Erin Cuthbert,Manchester City WFC,103.0,26.799999999999997,103.0,26.799999999999997,Pressure,1.0,Janine Elizabeth Beckie,Chelsea FCW,98.6,27.8,98.6,27.8,Ball Receipt*,1.0,Ramona Bachmann,Chelsea FCW,98.6,27.8,98.4,28.6,Carry,1.0,Ramona Bachmann,Chelsea FCW,98.4,28.6,99.3,25.4,Pass,0.0,Ramona Bachmann,Manchester City WFC,99.2,25.299999999999997,99.2,25.299999999999997,Block,0.0,Janine Elizabeth Beckie,Chelsea FCW,98.6,20.9,105.9,42.5,Pass,1.0,Guro Reiten,Chelsea FCW,105.9,42.5,105.9,42.5,Ball Receipt*,1.0,Bethany England,Chelsea FCW,107.9,42.2,119.3,40.2,Shot,0.0,Bethany England,2275130,ff188cf1-ddaa-4428-944e-5601fb00a5f7,0.059644494
