team_0,location_x_0,location_y_0,end_location_x_0,end_location_y_0,type_0,outcome_0,player_0,team_1,location_x_1,location_y_1,end_location_x_1,end_location_y_1,type_1,outcome_1,player_1,team_2,location_x_2,location_y_2,end_location_x_2,end_location_y_2,type_2,outcome_2,player_2,team_3,location_x_3,location_y_3,end_location_x_3,end_location_y_3,type_3,outcome_3,player_3,team_4,location_x_4,location_y_4,end_location_x_4,end_location_y_4,type_4,outcome_4,player_4,team_5,location_x_5,location_y_5,end_location_x_5,end_location_y_5,type_5,outcome_5,player_5,team_6,location_x_6,location_y_6,end_location_x_6,end_location_y_6,type_6,outcome_6,player_6,team_7,location_x_7,location_y_7,end_location_x_7,end_location_y_7,type_7,outcome_7,player_7,team_8,location_x_8,location_y_8,end_location_x_8,end_location_y_8,type_8,outcome_8,player_8,team_9,location_x_9,location_y_9,end_location_x_9,end_location_y_9,type_9,outcome_9,player_9,team_10,location_x_10,location_y_10,end_location_x_10,end_location_y_10,type_10,outcome_10,player_10,match_id,shot_id,shot_statsbomb_xg
Manchester City WFC,104.0,19.0,104.0,19.0,Ball Receipt*,1.0,Keira Walsh,Manchester City WFC,104.0,19.0,106.0,18.0,Carry,1.0,Keira Walsh,Manchester City WFC,106.0,18.0,111.0,7.0,Pass,1.0,Keira Walsh,Bristol City WFC,107.0,17.0,107.0,17.0,Pressure,1.0,Loren Dykes,Manchester City WFC,111.0,7.0,111.0,7.0,Ball Receipt*,1.0,Georgia Stanway,Manchester City WFC,111.0,7.0,114.0,6.0,Carry,1.0,Georgia Stanway,Manchester City WFC,114.0,6.0,115.0,43.0,Pass,0.0,Georgia Stanway,Manchester City WFC,114.0,39.0,114.0,39.0,Ball Receipt*,0.0,Nikita Parris,Bristol City WFC,114.0,42.0,114.0,42.0,Clearance,1.0,Poppy Pattinson,Manchester City WFC,110.0,50.0,110.0,50.0,Ball Recovery,1.0,Tessa Wullaert,Manchester City WFC,110.0,50.0,119.0,35.2,Shot,0.0,Tessa Wullaert,19779,0020fa8a-8ac7-40aa-b83d-6f2cd5f053bc,0.123714074
Bristol City WFC,44.0,75.0,52.0,60.0,Pass,1.0,Carla Humphrey,Bristol City WFC,52.0,60.0,52.0,60.0,Ball Receipt*,1.0,Lucy Hope,Bristol City WFC,52.0,60.0,46.0,61.0,Carry,1.0,Lucy Hope,Bristol City WFC,46.0,61.0,29.0,63.0,Pass,1.0,Lucy Hope,Bristol City WFC,29.0,63.0,29.0,63.0,Ball Receipt*,1.0,Danique Kerkdijk,Bristol City WFC,29.0,63.0,29.0,63.0,Carry,1.0,Danique Kerkdijk,Bristol City WFC,29.0,63.0,80.0,17.0,Pass,1.0,Danique Kerkdijk,Bristol City WFC,80.0,17.0,80.0,17.0,Ball Receipt*,1.0,Poppy Pattinson,Bristol City WFC,80.0,17.0,116.0,26.0,Carry,1.0,Poppy Pattinson,Arsenal WFC,103.0,27.0,103.0,27.0,Pressure,1.0,Lia Wälti,Bristol City WFC,116.0,26.0,120.0,34.8,Shot,0.0,Poppy Pattinson,19744,002f75e7-048b-4f3f-b00c-f48b42546133,0.016857063
Bristol City WFC,97.0,75.0,97.0,75.0,Ball Receipt*,0.0,Rosella Ayane,Liverpool WFC,95.0,57.0,83.0,71.0,Pass,0.0,Rhiannon Roberts,Liverpool WFC,79.0,74.0,79.0,74.0,Ball Receipt*,0.0,Rinsola Babajide,Bristol City WFC,84.0,72.0,84.0,72.0,Ball Recovery,1.0,Loren Dykes,Bristol City WFC,84.0,72.0,87.0,73.0,Carry,1.0,Loren Dykes,Bristol City WFC,87.0,73.0,106.0,32.0,Pass,0.0,Loren Dykes,Bristol City WFC,107.0,29.0,107.0,29.0,Ball Receipt*,0.0,Ella Rutherford,Liverpool WFC,105.0,31.0,105.0,31.0,Clearance,1.0,Satara Murray,Bristol City WFC,120.0,1.0,116.0,44.0,Pass,1.0,Julie Biesmans,Bristol City WFC,116.0,44.0,116.0,44.0,Ball Receipt*,1.0,Lucy Hope,Bristol City WFC,116.0,44.0,120.0,43.0,Shot,1.0,Lucy Hope,19761,0034d696-b47c-4f0c-8477-372a982ec729,0.13700317
West Ham United LFC,79.0,12.0,78.0,0.0,Pass,0.0,Ria Percival,Everton LFC,80.0,1.0,111.0,13.0,Pass,1.0,Siri Worm,West Ham United LFC,113.0,13.0,113.0,13.0,Pressure,1.0,Ria Percival,Everton LFC,111.0,13.0,111.0,13.0,Ball Receipt*,1.0,Inessa Kaagman,Everton LFC,111.0,13.0,113.0,12.0,Carry,1.0,Inessa Kaagman,Everton LFC,113.0,12.0,115.0,14.0,Pass,0.0,Inessa Kaagman,West Ham United LFC,114.0,13.0,114.0,13.0,Block,0.0,Ria Percival,Everton LFC,120.0,1.0,115.0,42.0,Pass,1.0,Chloe Kelly,Everton LFC,115.0,42.0,115.0,42.0,Ball Receipt*,1.0,Megan Finnigan,West Ham United LFC,114.0,41.0,114.0,41.0,Duel,0.0,Gilly Louise Scarlett Flaherty,Everton LFC,115.0,42.0,119.0,40.9,Shot,0.0,Megan Finnigan,19746,0035c64b-0c37-41e6-84df-3136dad135af,0.14950939
Birmingham City WFC,86.0,57.0,86.0,57.0,Ball Receipt*,1.0,Lucy Quinn,Birmingham City WFC,86.0,57.0,86.0,57.0,Carry,1.0,Lucy Quinn,Birmingham City WFC,86.0,57.0,85.0,79.0,Pass,0.0,Lucy Quinn,Manchester City WFC,83.0,80.0,51.0,64.0,Pass,1.0,Abbie McManus,Manchester City WFC,51.0,64.0,51.0,64.0,Ball Receipt*,1.0,Stephanie Houghton,Manchester City WFC,51.0,64.0,56.0,61.0,Carry,1.0,Stephanie Houghton,Manchester City WFC,56.0,61.0,93.0,15.0,Pass,1.0,Stephanie Houghton,Manchester City WFC,93.0,15.0,93.0,15.0,Ball Receipt*,1.0,Caroline Weir,Manchester City WFC,91.0,15.0,108.0,30.0,Pass,1.0,Caroline Weir,Manchester City WFC,108.0,30.0,108.0,30.0,Ball Receipt*,1.0,Nikita Parris,Manchester City WFC,109.0,31.0,113.0,41.1,Shot,0.0,Nikita Parris,19778,003b0566-1e1d-4acc-9808-8b9b88bab0fa,0.29315695
Arsenal WFC,58.0,37.0,58.0,37.0,Ball Receipt*,1.0,Dominique Johanna Anna Petrone Janssen,Arsenal WFC,58.0,37.0,58.0,37.0,Carry,1.0,Dominique Johanna Anna Petrone Janssen,Arsenal WFC,58.0,37.0,74.0,30.0,Pass,1.0,Dominique Johanna Anna Petrone Janssen,Arsenal WFC,74.0,30.0,74.0,30.0,Ball Receipt*,1.0,Katie McCabe,Arsenal WFC,74.0,30.0,79.0,27.0,Carry,1.0,Katie McCabe,Brighton & Hove Albion WFC,77.0,30.0,77.0,30.0,Pressure,1.0,Emily Simpkins,Arsenal WFC,79.0,27.0,100.0,11.0,Pass,1.0,Katie McCabe,Arsenal WFC,100.0,11.0,100.0,11.0,Ball Receipt*,1.0,Katrine Veje,Arsenal WFC,100.0,11.0,101.1,23.0,Carry,1.0,Katrine Veje,Brighton & Hove Albion WFC,101.0,14.0,101.0,14.0,Pressure,1.0,Kirsty Barton,Arsenal WFC,101.1,23.0,118.1,39.4,Shot,0.0,Katrine Veje,19815,0046aadb-28b0-46d8-8254-8700bea462ef,0.029656693
Bristol City WFC,73.0,56.0,81.0,44.0,Carry,1.0,Ella Rutherford,Arsenal WFC,80.0,43.0,80.0,43.0,Dribbled Past,0.0,Danielle van de Donk,Bristol City WFC,81.0,44.0,81.0,44.0,Dribble,1.0,Ella Rutherford,Bristol City WFC,81.0,44.0,88.0,41.0,Carry,1.0,Ella Rutherford,Arsenal WFC,82.0,39.0,82.0,39.0,Pressure,1.0,Kim Little,Bristol City WFC,88.0,41.0,101.0,48.0,Pass,1.0,Ella Rutherford,Bristol City WFC,101.0,48.0,101.0,48.0,Ball Receipt*,1.0,Rosella Ayane,Bristol City WFC,101.0,48.0,101.0,48.0,Carry,1.0,Rosella Ayane,Bristol City WFC,101.0,48.0,107.0,48.0,Pass,1.0,Rosella Ayane,Bristol City WFC,107.0,48.0,107.0,48.0,Ball Receipt*,1.0,Abigail Harrison,Bristol City WFC,107.0,48.0,118.0,38.3,Shot,0.0,Abigail Harrison,19800,00772dae-2c12-485b-ac94-a99f75e47aa0,0.179609
Manchester City WFC,75.0,74.0,70.0,79.0,Pass,1.0,Tessa Wullaert,Manchester City WFC,70.0,79.0,70.0,79.0,Ball Receipt*,1.0,Abbie McManus,Manchester City WFC,70.0,79.0,73.0,79.0,Carry,1.0,Abbie McManus,Manchester City WFC,73.0,79.0,92.0,61.0,Pass,1.0,Abbie McManus,Manchester City WFC,92.0,61.0,92.0,61.0,Ball Receipt*,1.0,Nikita Parris,Manchester City WFC,92.0,61.0,84.0,54.0,Carry,1.0,Nikita Parris,Liverpool WFC,93.0,59.0,93.0,59.0,Pressure,1.0,Niamh Fahey,Manchester City WFC,84.0,54.0,91.0,26.0,Pass,1.0,Nikita Parris,Manchester City WFC,91.0,26.0,91.0,26.0,Ball Receipt*,1.0,Caroline Weir,Manchester City WFC,91.0,26.0,94.5,36.9,Carry,1.0,Caroline Weir,Manchester City WFC,94.5,36.9,97.4,37.6,Shot,0.0,Caroline Weir,19807,009daf77-cced-4ab2-8d2a-17dc6808f1fb,0.035818636
Everton LFC,117.0,15.0,114.0,18.0,Carry,1.0,Simone Magill,Bristol City WFC,118.0,16.0,118.0,16.0,Pressure,1.0,Ella Rutherford,Everton LFC,114.0,18.0,110.0,21.0,Pass,1.0,Simone Magill,Everton LFC,110.0,21.0,110.0,21.0,Ball Receipt*,1.0,Megan Finnigan,Everton LFC,110.0,21.0,111.0,23.0,Carry,1.0,Megan Finnigan,Everton LFC,111.0,23.0,114.0,21.0,Pass,0.0,Megan Finnigan,Everton LFC,116.0,16.0,116.0,16.0,Ball Receipt*,0.0,Simone Magill,Bristol City WFC,115.0,22.0,115.0,22.0,Block,1.0,Ella Rutherford,Bristol City WFC,108.0,27.0,115.0,47.0,Pass,1.0,Lucy Hope,Bristol City WFC,115.0,47.0,115.0,47.0,Ball Receipt*,1.0,Rosella Ayane,Bristol City WFC,115.0,47.0,120.0,44.6,Shot,0.0,Rosella Ayane,19774,00a1f6ee-37a6-4294-88d9-f11806c815c3,0.15229402
Chelsea FCW,70.0,71.0,79.0,58.0,Pass,1.0,Jonna Ann-Charlotte Andersson,Chelsea FCW,79.0,58.0,79.0,58.0,Ball Receipt*,1.0,Magdalena Lilly Eriksson,Chelsea FCW,79.0,58.0,78.0,56.0,Carry,1.0,Magdalena Lilly Eriksson,Chelsea FCW,78.0,56.0,82.0,17.0,Pass,1.0,Magdalena Lilly Eriksson,Chelsea FCW,82.0,17.0,82.0,17.0,Ball Receipt*,1.0,Millie Bright,Chelsea FCW,82.0,17.0,70.0,21.0,Carry,1.0,Millie Bright,Chelsea FCW,70.0,21.0,70.0,21.0,Dribble,0.0,Millie Bright,Manchester City WFC,71.0,22.0,71.0,22.0,Duel,0.0,Tessa Wullaert,Manchester City WFC,71.0,22.0,103.0,39.0,Carry,1.0,Tessa Wullaert,Chelsea FCW,73.0,20.0,73.0,20.0,Error,0.0,Millie Bright,Manchester City WFC,103.0,39.0,119.0,38.3,Shot,1.0,Tessa Wullaert,19755,00b69dad-0e8b-4d0f-9016-d8e664b7f6e1,0.1328225
