team_0,location_x_0,location_y_0,end_location_x_0,end_location_y_0,type_0,outcome_0,player_0,team_1,location_x_1,location_y_1,end_location_x_1,end_location_y_1,type_1,outcome_1,player_1,team_2,location_x_2,location_y_2,end_location_x_2,end_location_y_2,type_2,outcome_2,player_2,team_3,location_x_3,location_y_3,end_location_x_3,end_location_y_3,type_3,outcome_3,player_3,team_4,location_x_4,location_y_4,end_location_x_4,end_location_y_4,type_4,outcome_4,player_4,team_5,location_x_5,location_y_5,end_location_x_5,end_location_y_5,type_5,outcome_5,player_5,team_6,location_x_6,location_y_6,end_location_x_6,end_location_y_6,type_6,outcome_6,player_6,team_7,location_x_7,location_y_7,end_location_x_7,end_location_y_7,type_7,outcome_7,player_7,team_8,location_x_8,location_y_8,end_location_x_8,end_location_y_8,type_8,outcome_8,player_8,team_9,location_x_9,location_y_9,end_location_x_9,end_location_y_9,type_9,outcome_9,player_9,team_10,location_x_10,location_y_10,end_location_x_10,end_location_y_10,type_10,outcome_10,player_10,match_id,shot_id,shot_statsbomb_xg
Reading WFC,102.0,51.0,108.0,46.0,Carry,1.0,Brooke Chaplen,Reading WFC,108.0,46.0,114.0,42.0,Shot,0.0,Brooke Chaplen,Birmingham City WFC,115.0,41.0,115.0,41.0,Goal Keeper,0.0,Ann-Katrin Berger,Birmingham City WFC,111.0,39.0,111.0,39.0,Clearance,1.0,Meaghan Sargeant,Reading WFC,120.0,80.0,106.0,47.0,Pass,1.0,Kirstyn Pearce,Reading WFC,106.0,47.0,106.0,47.0,Ball Receipt*,1.0,Fara Williams,Reading WFC,106.0,47.0,106.0,47.0,Carry,1.0,Fara Williams,Reading WFC,106.0,47.0,98.0,48.0,Pass,1.0,Fara Williams,Reading WFC,98.0,48.0,98.0,48.0,Ball Receipt*,1.0,Josanne Potter,Reading WFC,98.0,48.0,98.0,48.0,Carry,1.0,Josanne Potter,Reading WFC,98.0,48.0,119.0,34.6,Shot,0.0,Josanne Potter,19727,0108016e-9fe6-4161-9e5d-198d269acdeb,0.03146041
Chelsea FCW,65.0,35.0,67.0,7.0,Pass,1.0,So-Yun Ji,Chelsea FCW,67.0,7.0,67.0,7.0,Ball Receipt*,1.0,Magdalena Lilly Eriksson,Chelsea FCW,67.0,7.0,70.0,6.0,Carry,1.0,Magdalena Lilly Eriksson,Birmingham City WFC,73.0,13.0,73.0,13.0,Pressure,1.0,Emma Follis,Chelsea FCW,70.0,6.0,104.0,14.0,Pass,1.0,Magdalena Lilly Eriksson,Birmingham City WFC,103.0,15.0,103.0,15.0,Pressure,1.0,Aoife Mannion,Chelsea FCW,104.0,14.0,104.0,14.0,Ball Receipt*,1.0,Erin Cuthbert,Chelsea FCW,104.0,14.0,104.0,17.0,Carry,1.0,Erin Cuthbert,Birmingham City WFC,103.0,16.0,103.0,16.0,Foul Committed,0.0,Aoife Mannion,Chelsea FCW,104.0,17.0,104.0,17.0,Foul Won,1.0,Erin Cuthbert,Chelsea FCW,106.0,14.0,120.0,43.8,Shot,1.0,Erin Cuthbert,19789,011c676f-90e8-4415-946c-2cad3f91b92c,0.00987812
Reading WFC,51.0,70.0,51.0,70.0,Ball Receipt*,1.0,Lauren Bruton,Reading WFC,51.0,70.0,50.0,66.0,Carry,1.0,Lauren Bruton,Reading WFC,50.0,66.0,55.0,55.0,Pass,1.0,Lauren Bruton,Reading WFC,55.0,55.0,55.0,55.0,Ball Receipt*,1.0,Charlotte Estcourt,Reading WFC,55.0,55.0,81.0,60.0,Carry,1.0,Charlotte Estcourt,Reading WFC,81.0,60.0,113.0,57.0,Pass,1.0,Charlotte Estcourt,Reading WFC,113.0,57.0,113.0,57.0,Ball Receipt*,1.0,Jade Bailey,Reading WFC,113.0,57.0,113.0,57.0,Carry,1.0,Jade Bailey,Reading WFC,113.0,57.0,106.0,54.0,Pass,1.0,Jade Bailey,Reading WFC,106.0,54.0,106.0,54.0,Ball Receipt*,1.0,Lauren Bruton,Reading WFC,107.5,54.0,120.0,37.1,Shot,1.0,Lauren Bruton,19758,01258a97-bcaf-40db-8208-83d33ecaf5b2,0.19494075
Reading WFC,17.0,64.0,17.0,64.0,Foul Won,1.0,Remi Allen,Reading WFC,21.700000000000003,68.2,1.2000000000000028,41.3,Shot,0.0,Fara Williams,Everton LFC,0.9,41.1,0.9,41.1,Goal Keeper,1.0,Kirstie Levell,Everton LFC,19.0,67.0,74.0,52.0,Pass,0.0,Kirstie Levell,Everton LFC,72.0,51.0,72.0,51.0,Ball Receipt*,0.0,Hannah Cain,Everton LFC,74.0,52.0,74.0,52.0,Duel,1.0,Hannah Cain,Reading WFC,73.0,51.0,78.0,44.0,Pass,0.0,Kirstyn Pearce,Everton LFC,79.0,45.0,79.0,45.0,Block,1.0,Hannah Cain,Everton LFC,84.0,45.0,108.0,47.0,Pass,1.0,Chantelle Boye-Hlorkah,Everton LFC,108.0,47.0,108.0,47.0,Ball Receipt*,1.0,Simone Magill,Everton LFC,104.9,41.8,111.9,40.9,Shot,0.0,Simone Magill,19817,014eaccd-a626-4a12-b494-deab5ac30cd2,0.20153923
Reading WFC,97.0,63.0,96.0,62.0,Carry,1.0,Jade Bailey,Reading WFC,96.0,62.0,96.0,62.0,Dispossessed,0.0,Jade Bailey,Brighton & Hove Albion WFC,97.0,63.0,97.0,63.0,Duel,1.0,Aileen Whelan,Brighton & Hove Albion WFC,97.0,63.0,114.0,74.0,Carry,1.0,Aileen Whelan,Brighton & Hove Albion WFC,114.0,74.0,113.0,72.0,Pass,0.0,Aileen Whelan,Reading WFC,112.0,71.0,112.0,71.0,Block,0.0,Mayumi Pacheco,Brighton & Hove Albion WFC,120.0,80.0,118.0,46.0,Pass,0.0,Felicity Gibbons,Reading WFC,117.0,45.0,117.0,45.0,Ball Recovery,0.0,Fara Williams,Reading WFC,117.0,45.0,117.0,45.0,Error,0.0,Fara Williams,Brighton & Hove Albion WFC,116.0,46.0,116.0,46.0,Ball Recovery,1.0,Kayleigh Green,Brighton & Hove Albion WFC,118.2,45.3,118.7,44.1,Shot,0.0,Kayleigh Green,19809,0160874e-83d9-4852-838a-6bf057dee4c6,0.1626449
West Ham United LFC,53.0,71.0,53.0,71.0,Ball Receipt*,1.0,Alisha Lehmann,West Ham United LFC,53.0,71.0,99.0,64.0,Carry,1.0,Alisha Lehmann,Liverpool WFC,57.0,73.0,57.0,73.0,Pressure,1.0,Leigh-Anne Robe,Liverpool WFC,96.0,61.0,96.0,61.0,Pressure,1.0,Leigh-Anne Robe,West Ham United LFC,99.0,64.0,106.0,49.0,Pass,0.0,Alisha Lehmann,West Ham United LFC,111.0,41.0,111.0,41.0,Ball Receipt*,0.0,Jane Ross,Liverpool WFC,105.0,48.0,105.0,48.0,Clearance,1.0,Leandra Little,West Ham United LFC,100.0,41.0,100.0,36.0,Pass,1.0,Brianna Visalli,West Ham United LFC,100.0,36.0,100.0,36.0,Ball Receipt*,1.0,Adriana Kristina Leon,West Ham United LFC,100.0,36.0,98.0,45.0,Carry,1.0,Adriana Kristina Leon,West Ham United LFC,98.0,45.0,119.0,44.2,Shot,0.0,Adriana Kristina Leon,19793,016b5704-573e-41ef-b9c9-180c3ef65944,0.042345423
Bristol City WFC,17.0,44.0,41.0,26.0,Pass,1.0,Sophie Baggaley,Bristol City WFC,41.0,26.0,41.0,26.0,Ball Receipt*,1.0,Ella Rutherford,Bristol City WFC,41.0,26.0,118.0,11.0,Carry,1.0,Ella Rutherford,Yeovil Town LFC,102.0,13.0,102.0,13.0,Pressure,1.0,Amy Goddard,Bristol City WFC,118.0,11.0,119.0,40.0,Pass,0.0,Ella Rutherford,Yeovil Town LFC,118.0,39.0,118.0,39.0,Goal Keeper,0.0,Megan Walsh,Yeovil Town LFC,113.0,37.0,113.0,37.0,Clearance,1.0,Hannah Short,Yeovil Town LFC,118.0,43.0,118.0,43.0,Pressure,1.0,Megan Walsh,Bristol City WFC,118.0,47.0,118.0,47.0,Ball Recovery,1.0,Heather Payne,Bristol City WFC,118.0,47.0,118.0,47.0,Carry,1.0,Heather Payne,Bristol City WFC,118.0,47.0,120.0,42.0,Shot,0.0,Heather Payne,19742,01719a8c-5d4a-4d13-a5ef-fc64b38fd833,0.105211996
Manchester City WFC,83.0,30.0,87.0,43.0,Carry,1.0,Georgia Stanway,Bristol City WFC,80.0,29.0,80.0,29.0,Pressure,1.0,Danique Kerkdijk,Manchester City WFC,87.0,43.0,101.0,72.0,Pass,1.0,Georgia Stanway,Manchester City WFC,101.0,72.0,101.0,72.0,Ball Receipt*,1.0,Abbie McManus,Manchester City WFC,101.0,72.0,110.0,61.0,Carry,1.0,Abbie McManus,Bristol City WFC,104.0,65.0,104.0,65.0,Pressure,1.0,Ella Rutherford,Manchester City WFC,110.0,61.0,102.0,49.0,Pass,1.0,Abbie McManus,Bristol City WFC,105.0,47.0,105.0,47.0,Pressure,1.0,Danique Kerkdijk,Manchester City WFC,102.0,49.0,102.0,49.0,Ball Receipt*,1.0,Georgia Stanway,Manchester City WFC,102.0,49.0,102.0,48.0,Carry,1.0,Georgia Stanway,Manchester City WFC,102.0,48.0,106.0,49.0,Shot,0.0,Georgia Stanway,19779,017313c0-acb1-4f45-a5cf-d0a11ea74a38,0.051291477
Liverpool WFC,59.0,40.0,59.0,40.0,Ball Recovery,1.0,Laura Coombs,Liverpool WFC,59.0,40.0,63.0,44.0,Carry,1.0,Laura Coombs,Liverpool WFC,63.0,44.0,75.0,74.0,Pass,1.0,Laura Coombs,Liverpool WFC,75.0,74.0,75.0,74.0,Ball Receipt*,1.0,Rinsola Babajide,Liverpool WFC,75.0,74.0,99.0,70.0,Carry,1.0,Rinsola Babajide,Bristol City WFC,90.0,71.0,90.0,71.0,Pressure,1.0,Poppy Pattinson,Liverpool WFC,99.0,70.0,114.0,49.0,Pass,1.0,Rinsola Babajide,Liverpool WFC,114.0,49.0,114.0,49.0,Ball Receipt*,1.0,Courtney Sweetman-Kirk,Liverpool WFC,114.0,49.0,114.0,46.0,Carry,1.0,Courtney Sweetman-Kirk,Bristol City WFC,114.0,47.0,114.0,47.0,Pressure,1.0,Danique Kerkdijk,Liverpool WFC,114.0,46.0,117.0,42.4,Shot,0.0,Courtney Sweetman-Kirk,19761,017b8f24-973c-484c-996d-8bbf1830872d,0.16898988
Manchester City WFC,17.0,73.0,17.0,73.0,Ball Receipt*,1.0,Gemma Bonner,Manchester City WFC,17.0,73.0,17.0,73.0,Carry,1.0,Gemma Bonner,Manchester City WFC,17.0,73.0,53.0,75.0,Pass,0.0,Gemma Bonner,Manchester City WFC,49.0,77.0,49.0,77.0,Ball Receipt*,0.0,Georgia Stanway,Arsenal WFC,52.0,74.0,52.0,74.0,Block,0.0,Louise Quinn,Manchester City WFC,49.0,76.0,49.0,76.0,Block,1.0,Georgia Stanway,Arsenal WFC,52.0,74.0,52.0,74.0,Clearance,1.0,Louise Quinn,Manchester City WFC,53.0,78.0,53.0,78.0,Pressure,1.0,Georgia Stanway,Manchester City WFC,57.0,80.0,114.0,59.0,Pass,1.0,Gemma Bonner,Manchester City WFC,114.0,59.0,114.0,59.0,Ball Receipt*,1.0,Nikita Parris,Manchester City WFC,115.0,57.0,119.0,45.6,Shot,0.0,Nikita Parris,19770,01a5bc85-8078-496b-a721-74d413588fc8,0.0136687495
Brighton & Hove Albion WFC,36.0,66.0,36.0,66.0,Ball Receipt*,1.0,Aileen Whelan,Brighton & Hove Albion WFC,36.0,66.0,57.0,64.0,Carry,1.0,Aileen Whelan,Brighton & Hove Albion WFC,57.0,64.0,94.0,66.0,Pass,1.0,Aileen Whelan,Brighton & Hove Albion WFC,94.0,66.0,94.0,66.0,Ball Receipt*,1.0,Ellie Brazil,Brighton & Hove Albion WFC,94.0,66.0,100.0,59.0,Carry,1.0,Ellie Brazil,West Ham United LFC,95.0,60.0,95.0,60.0,Pressure,1.0,Erin Simon,Brighton & Hove Albion WFC,100.0,59.0,101.0,45.0,Pass,0.0,Ellie Brazil,Brighton & Hove Albion WFC,100.0,41.0,100.0,41.0,Ball Receipt*,0.0,Chloe Peplow,West Ham United LFC,100.0,44.0,100.0,44.0,Interception,0.0,Brooke Hendrix,Brighton & Hove Albion WFC,101.0,43.0,101.0,43.0,Ball Recovery,1.0,Chloe Peplow,Brighton & Hove Albion WFC,100.2,45.4,113.6,37.4,Shot,0.0,Chloe Peplow,19819,01c7594d-511b-4991-9c87-daa9aa11f6c0,0.036984034
Yeovil Town LFC,49.0,72.0,55.0,73.0,Carry,1.0,Bonnie Horwood,Yeovil Town LFC,55.0,73.0,68.0,58.0,Pass,1.0,Bonnie Horwood,Yeovil Town LFC,68.0,58.0,68.0,58.0,Ball Receipt*,1.0,Ellie Mason,Yeovil Town LFC,68.0,58.0,82.0,51.0,Carry,1.0,Ellie Mason,Yeovil Town LFC,82.0,51.0,74.0,55.0,Pass,0.0,Ellie Mason,Yeovil Town LFC,64.0,64.0,64.0,64.0,Ball Receipt*,0.0,Bonnie Horwood,Manchester City WFC,75.0,56.0,75.0,56.0,Interception,1.0,Nikita Parris,Manchester City WFC,75.0,56.0,97.0,58.0,Carry,1.0,Nikita Parris,Yeovil Town LFC,82.0,51.0,82.0,51.0,Error,0.0,Ellie Mason,Yeovil Town LFC,95.0,55.0,95.0,55.0,Pressure,1.0,Ellie Mason,Manchester City WFC,97.0,58.0,114.0,41.5,Shot,0.0,Nikita Parris,19764,0233a087-a632-431f-8761-1b509229f812,0.012931211
Brighton & Hove Albion WFC,75.0,70.0,75.0,70.0,Pressure,1.0,Chloe Peplow,Chelsea FCW,82.0,70.0,85.0,33.0,Pass,0.0,So-Yun Ji,Brighton & Hove Albion WFC,83.0,34.0,83.0,34.0,Pressure,1.0,Aileen Whelan,Chelsea FCW,88.0,34.0,88.0,34.0,Ball Receipt*,0.0,Millie Bright,Brighton & Hove Albion WFC,86.0,34.0,86.0,34.0,Interception,1.0,Aileen Whelan,Brighton & Hove Albion WFC,86.0,34.0,96.0,27.0,Carry,1.0,Aileen Whelan,Chelsea FCW,91.0,28.0,91.0,28.0,Ball Recovery,0.0,Hannah Jayne Blundell,Chelsea FCW,95.0,26.0,95.0,26.0,Dribbled Past,0.0,Hannah Jayne Blundell,Brighton & Hove Albion WFC,96.0,27.0,96.0,27.0,Dribble,1.0,Aileen Whelan,Brighton & Hove Albion WFC,96.0,27.0,111.0,26.0,Carry,1.0,Aileen Whelan,Brighton & Hove Albion WFC,111.0,26.0,119.0,43.6,Shot,0.0,Aileen Whelan,19776,025ecf0e-b21f-4914-b871-5d418d7de6b0,0.07681527
Reading WFC,97.0,58.0,99.0,76.0,Pass,1.0,Lauren Bruton,Reading WFC,99.0,76.0,99.0,76.0,Ball Receipt*,1.0,Josanne Potter,Reading WFC,99.0,76.0,99.0,76.0,Carry,1.0,Josanne Potter,Reading WFC,99.0,76.0,108.0,68.0,Pass,1.0,Josanne Potter,Liverpool WFC,106.0,67.0,106.0,67.0,Pressure,1.0,Laura Coombs,Reading WFC,108.0,68.0,108.0,68.0,Ball Receipt*,1.0,Lauren Bruton,Reading WFC,112.0,68.0,111.0,43.0,Pass,0.0,Lauren Bruton,Liverpool WFC,110.0,42.0,110.0,42.0,Clearance,1.0,Sophie Elizabeth Bradley-Auckland,Reading WFC,104.0,29.0,104.0,29.0,Ball Recovery,1.0,Rachel Furness,Reading WFC,104.0,29.0,104.0,29.0,Carry,1.0,Rachel Furness,Reading WFC,104.0,29.0,119.0,35.4,Shot,0.0,Rachel Furness,19732,02625097-87c0-4e63-b01f-28405fd35191,0.05046559
